City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Maragogi,BR,75.9,broken clouds,-9.0122,-35.2225,
564,Shingu,JP,83.86,broken clouds,33.7333,135.9833,
565,Lorengau,PG,83.28,broken clouds,-2.0226,147.2712,
569,Batticaloa,LK,79.29,overcast clouds,7.7102,81.6924,
572,Saint Marys,US,89.02,scattered clouds,30.7305,-81.5465,
573,Merauke,ID,78.33,scattered clouds,-8.4667,140.3333,
582,Rodrigues Alves,BR,79,scattered clouds,-7.738,-72.6509,
583,Ariquemes,BR,85.17,overcast clouds,-9.9133,-63.0408,
585,Half Moon Bay,US,82.58,overcast clouds,37.4636,-122.4286,
587,Gazojak,TM,77.81,clear sky,41.1875,61.4036,
589,Los Altos Hills,US,85.6,clear sky,37.3797,-122.1375,
590,Tomatlan,MX,86.31,broken clouds,19.9333,-105.25,
592,Sur,OM,86.56,scattered clouds,22.5667,59.5289,
593,Kavali,IN,81.05,overcast clouds,14.9167,79.9833,
596,Kupang,ID,75.92,few clouds,-10.1667,123.5833,
598,Tual,ID,80.13,overcast clouds,-5.6667,132.75,
604,Monrovia,LR,75.47,overcast clouds,6.3005,-10.7969,
605,Luebo,CD,76.53,overcast clouds,-5.35,21.4167,
607,Vanimo,PG,78.96,overcast clouds,-2.6741,141.3028,
611,Kalmunai,LK,78.49,overcast clouds,7.4167,81.8167,
613,Terrace,CA,76.91,scattered clouds,54.5163,-128.6035,
615,Dandong,CN,78.58,overcast clouds,40.1292,124.3947,
617,Port Angeles,US,84.09,clear sky,48.1181,-123.4307,
621,Xinxiang,CN,85.57,overcast clouds,35.3089,113.8672,
631,Stabat,ID,75.4,overcast clouds,3.761,98.4513,
632,Port Hawkesbury,CA,86.92,few clouds,45.6169,-61.3485,
639,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,
640,Catuday,PH,75.45,overcast clouds,16.2923,119.8062,
641,Ca Mau,VN,76.1,overcast clouds,9.1769,105.15,
644,Jacqueville,CI,75.51,few clouds,5.2052,-4.4146,
646,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,
657,Miri,MY,77.14,few clouds,4.4148,114.0089,
658,Ewa Beach,US,87.75,few clouds,21.3156,-158.0072,
659,Khasan,RU,75.52,few clouds,42.4308,130.6434,
663,Carutapera,BR,77.34,broken clouds,-1.195,-46.02,
665,Lethem,GY,81.37,broken clouds,3.3803,-59.7968,
666,La Ronge,CA,80.85,scattered clouds,55.1001,-105.2842,
667,Marsh Harbour,BS,83.44,overcast clouds,26.5412,-77.0636,
669,Santarem,BR,84.33,clear sky,-2.4431,-54.7083,
674,Bac Lieu,VN,78.06,overcast clouds,9.285,105.7244,
677,Auki,SB,80.94,very heavy rain,-8.7676,160.7034,
679,Silopi,TR,86.58,clear sky,37.2497,42.4694,
683,Myitkyina,MM,75.45,overcast clouds,25.3833,97.4,
687,Green River,US,83.19,clear sky,41.5286,-109.4662,
689,Houma,US,88,scattered clouds,29.5958,-90.7195,
690,Robertson,US,84.4,clear sky,36.5167,-86.8667,
693,Ixtapa,MX,82.09,overcast clouds,20.7,-105.2,
694,Jacareacanga,BR,76.59,broken clouds,-6.2222,-57.7528,
695,Xuanzhou,CN,85.73,scattered clouds,30.9525,118.7553,
699,Loralai,PK,77.22,broken clouds,30.3705,68.598,
