,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
346,Roblin,51.23,-101.3565,75.18,clear sky,49,9,9.86,CA
347,Birjand,32.8663,59.2211,72.07,clear sky,23,0,6.91,IR
348,Wanning,18.8003,110.3967,80.28,overcast clouds,88,100,4.18,CN
349,Son La,21.3167,103.9,67.48,overcast clouds,99,95,0.43,VN
350,Catalina,32.5056,-110.9211,99.88,broken clouds,35,66,1.99,US
351,Rebrikha,53.0733,82.3408,59.31,few clouds,61,14,3.15,RU
352,Venado Tuerto,-33.7456,-61.9688,54.77,broken clouds,54,74,9.89,AR
353,Hamilton,39.1834,-84.5333,89.74,clear sky,69,0,6.91,US
354,Banos,-1.4,-78.4167,66.11,light rain,90,83,4.09,EC
355,Broome,42.2506,-75.833,86.77,few clouds,67,20,11.5,US
356,Birao,10.2849,22.7882,71.1,light rain,98,93,4.5,CF
357,Solnechnyy,50.7214,136.6319,63.32,light rain,99,100,6.26,RU
358,Inuvik,68.3499,-133.7218,54.61,broken clouds,62,75,3.44,CA
359,Cap Malheureux,-19.9842,57.6142,66.47,clear sky,78,5,3.0,MU
360,Palasa,18.7667,84.4167,77.63,moderate rain,91,91,4.5,IN
361,Coihaique,-45.5752,-72.0662,39.15,overcast clouds,75,100,4.61,CL
362,Masty,53.4122,24.5387,58.91,overcast clouds,80,100,5.88,BY
363,Fortuna,40.5982,-124.1573,71.92,broken clouds,74,75,10.36,US
364,Tuatapere,-46.1333,167.6833,39.38,few clouds,72,24,11.77,NZ
365,Areka,7.0667,37.7,59.86,overcast clouds,87,98,1.92,ET
366,Seymchan,62.8833,152.4333,72.79,scattered clouds,59,42,4.74,RU
367,Sangar,63.9242,127.4739,53.37,broken clouds,89,52,4.14,RU
368,Fort Nelson,58.8053,-122.7002,69.39,shower rain,56,75,6.91,CA
369,Sucre,-19.0333,-65.2627,57.31,overcast clouds,45,92,7.9,BO
370,Marfino,55.7028,37.3822,66.11,clear sky,88,0,4.47,RU
371,Kutum,14.2,24.6667,74.62,broken clouds,64,66,8.37,SD
372,Jussara,-23.6214,-52.4694,66.16,overcast clouds,96,100,3.04,BR
373,Rafai,4.95,23.9167,67.46,overcast clouds,99,97,0.94,CF
374,Ulladulla,-35.35,150.4667,51.6,scattered clouds,78,31,9.35,AU
375,Mount Pleasant,32.7941,-79.8626,82.99,clear sky,80,0,8.05,US
376,Staryy Nadym,65.6118,72.6842,64.74,light rain,77,71,10.51,RU
377,Paita,-5.0892,-81.1144,65.48,clear sky,76,3,17.74,PE
378,Caravelas,-17.7125,-39.2481,73.38,clear sky,78,2,9.26,BR
379,Carndonagh,55.25,-7.2667,52.45,scattered clouds,95,41,5.03,IE
380,Kromy,52.6876,35.7667,66.74,overcast clouds,77,100,12.5,RU
381,Deputatskiy,69.3,139.9,49.98,overcast clouds,89,100,5.06,RU
382,Pierre,44.3683,-100.351,72.28,clear sky,57,0,6.91,US
383,Gat,31.61,34.7642,79.48,clear sky,66,0,1.25,IL
384,Xiantao,30.3833,113.4,81.03,overcast clouds,73,87,10.54,CN
385,Dakar,14.6937,-17.4441,82.53,scattered clouds,83,40,13.8,SN
386,Mopti,14.6667,-4.0,82.18,light rain,59,95,6.44,ML
387,Douglas,41.3,-96.167,94.08,clear sky,68,0,11.5,US
388,Shahreza,32.0339,51.8794,78.39,scattered clouds,34,37,3.44,IR
389,Harindanga,22.0383,88.3214,80.85,light rain,88,91,6.31,IN
390,Gambela,8.25,34.5833,67.86,light rain,96,99,2.84,ET
391,Brooks,50.5834,-111.8851,85.98,clear sky,27,1,3.44,CA
392,Besikduzu,41.052,39.2284,76.89,clear sky,83,0,4.59,TR
393,Tazmalt,36.3868,4.3989,78.28,clear sky,37,0,3.74,DZ
394,Itarema,-2.9248,-39.9167,78.13,scattered clouds,80,33,17.02,BR
395,Agirish,61.9247,63.0231,67.44,scattered clouds,63,43,4.52,RU
396,Aripuana,-9.1667,-60.6333,80.17,moderate rain,62,74,1.88,BR
397,Cururupu,-1.8283,-44.8683,75.29,scattered clouds,88,50,4.43,BR
398,Talcahuano,-36.7167,-73.1167,49.68,broken clouds,81,75,9.22,CL
399,Gogrial,8.5332,28.1004,72.25,light rain,91,94,4.85,SS
400,Muzhi,65.3667,64.6667,67.32,clear sky,65,0,7.92,RU
401,Posse,-14.0931,-46.3694,76.37,scattered clouds,31,42,3.18,BR
402,Muli,2.9167,73.5667,81.36,overcast clouds,77,99,12.19,MV
403,Geraldton,-28.7667,114.6,50.41,scattered clouds,93,40,11.5,AU
404,Pacifica,37.6138,-122.4869,80.91,few clouds,71,20,21.85,US
405,Barbate,36.1924,-5.9219,69.98,clear sky,81,0,5.14,ES
406,Moree,-29.4667,149.85,51.87,clear sky,66,0,8.55,AU
407,Acarau,-2.8856,-40.12,78.35,scattered clouds,80,34,17.85,BR
408,Ust-Tsilma,65.441,52.1498,61.99,light rain,99,11,3.71,RU
409,Vila Velha,-20.3297,-40.2925,76.95,clear sky,82,0,12.66,BR
410,Kununurra,-15.7667,128.7333,73.38,scattered clouds,60,40,8.05,AU
411,Kologriv,58.8275,44.3178,61.63,broken clouds,98,64,3.87,RU
412,Valleyview,55.0667,-117.2859,75.24,scattered clouds,41,45,16.11,CA
413,Richards Bay,-28.783,32.0377,66.87,overcast clouds,93,87,9.75,ZA
414,Sao Filipe,14.8961,-24.4956,79.23,overcast clouds,85,96,5.64,CV
415,Meadow Lake,34.8014,-106.5436,89.08,scattered clouds,30,50,8.77,US
416,Neiafu,-18.65,-173.9833,81.28,few clouds,78,20,12.66,TO
417,Itoman,26.1247,127.6694,86.02,few clouds,79,20,5.75,JP
418,Hauterive,46.0901,3.4459,70.56,clear sky,52,0,1.63,FR
419,Lahat,-3.8,103.5333,70.65,clear sky,87,6,2.17,ID
420,Redmond,47.674,-122.1215,94.23,clear sky,41,0,3.0,US
421,Hualmay,-11.0964,-77.6139,62.44,broken clouds,81,63,12.82,PE
422,Copiapo,-27.3667,-70.3333,55.09,scattered clouds,45,36,2.24,CL
423,Julio De Castilhos,-29.2269,-53.6817,51.37,overcast clouds,93,100,13.04,BR
424,Klaksvik,62.2266,-6.589,54.52,overcast clouds,98,99,14.74,FO
425,Kefalos,36.7453,26.9589,77.22,few clouds,78,20,4.61,GR
426,Tefe,-3.3542,-64.7114,86.11,few clouds,79,20,2.3,BR
427,Namibe,-15.1961,12.1522,61.09,scattered clouds,90,32,4.03,AO
428,Vila,42.0304,-8.1588,62.71,clear sky,83,4,0.65,PT
429,Tazovskiy,67.4667,78.7,56.75,few clouds,93,23,6.4,RU
430,Kuznetsk,53.1167,46.6004,64.8,clear sky,63,10,3.78,RU
431,Nara,34.6851,135.8049,85.96,broken clouds,59,79,0.92,JP
432,Byron Bay,-28.65,153.6167,57.94,clear sky,59,0,10.56,AU
433,Ayr,55.4627,-4.6339,57.18,overcast clouds,94,100,2.3,GB
434,Vladicin Han,42.7078,22.0633,66.72,scattered clouds,75,28,2.53,RS
435,Emerald,-23.5333,148.1667,55.35,clear sky,59,0,16.69,AU
436,Masjid Tanah,2.3455,102.1107,78.69,scattered clouds,88,40,0.0,MY
437,Moroni,-11.7022,43.2551,72.99,clear sky,75,5,4.54,KM
438,Buala,-8.145,159.5921,83.07,moderate rain,71,98,2.21,SB
439,Kieta,-6.2167,155.6333,82.67,broken clouds,74,81,1.77,PG
440,Bosaso,11.2842,49.1816,90.99,overcast clouds,37,95,19.62,SO
441,Pecos,31.4229,-103.4932,96.89,broken clouds,24,75,12.66,US
442,Bafoulabe,13.8065,-10.8321,79.84,few clouds,84,21,3.33,ML
443,Isabela,6.7085,121.9711,73.45,overcast clouds,88,100,4.38,PH
444,Huarmey,-10.0681,-78.1522,63.41,broken clouds,83,70,12.26,PE
445,San Borja,-14.8167,-66.85,70.29,broken clouds,97,78,3.2,BO
446,Chirongui,-12.9319,45.1483,69.73,few clouds,70,18,8.37,YT
447,Rorvik,64.8621,11.2373,52.18,clear sky,75,7,5.88,NO
448,Sesheke,-17.4759,24.2968,60.06,clear sky,34,0,5.99,ZM
449,Florianopolis,-27.6146,-48.5012,61.41,overcast clouds,99,100,2.3,BR
450,Natal,-5.795,-35.2094,79.02,scattered clouds,78,40,8.05,BR
451,Ruidoso,33.3317,-105.673,86.95,broken clouds,32,69,11.5,US
452,Mount Gambier,-37.8333,140.7667,44.29,scattered clouds,80,32,4.29,AU
453,Lazarev,52.225,141.5131,61.52,light rain,96,100,15.08,RU
454,Midleton,51.9153,-8.1805,60.58,clear sky,88,3,5.99,IE
455,Macamic,48.7502,-78.9996,63.86,broken clouds,63,76,6.64,CA
456,Luena,-11.7833,19.9167,56.71,clear sky,30,0,4.97,AO
457,Mezen,65.8522,44.24,54.82,overcast clouds,77,93,6.89,RU
458,Northam,51.0333,-4.2167,58.39,clear sky,86,0,5.28,GB
459,Jinxi,30.4323,116.2922,79.36,scattered clouds,85,48,3.96,CN
460,Minbu,20.1833,94.8833,77.36,overcast clouds,91,97,9.06,MM
461,Axim,4.8699,-2.2405,73.8,few clouds,81,17,10.13,GH
462,Lagoa,39.05,-27.9833,73.78,light rain,83,15,18.39,PT
463,Solin,43.55,16.5,83.52,clear sky,45,0,3.44,HR
464,Kalamata,37.0389,22.1142,79.11,few clouds,61,20,0.0,GR
465,Bani Walid,31.7566,13.9942,75.04,clear sky,74,0,5.41,LY
466,Matao,-21.6033,-48.3658,73.83,overcast clouds,49,100,10.16,BR
467,Margate,51.3813,1.3862,63.3,clear sky,74,6,1.01,GB
468,Cleburne,32.3476,-97.3867,101.68,clear sky,33,0,11.01,US
469,Markova,48.6758,24.4138,57.97,overcast clouds,92,97,1.59,UA
470,Cedar City,37.6775,-113.0619,89.4,clear sky,18,0,8.05,US
471,Los Llanos De Aridane,28.6585,-17.9182,69.55,overcast clouds,78,100,13.8,ES
472,Hambantota,6.1241,81.1185,77.81,overcast clouds,82,96,17.98,LK
473,Sao Joao Da Barra,-21.6403,-41.0511,72.54,few clouds,90,18,14.45,BR
474,Sorong,-0.8833,131.25,78.08,overcast clouds,86,94,8.23,ID
475,Nanortalik,60.1432,-45.2371,44.42,few clouds,84,15,8.48,GL
476,Uyuni,-20.4597,-66.825,40.01,clear sky,17,0,10.42,BO
477,Soledade,-28.8183,-52.5103,49.86,overcast clouds,97,100,8.43,BR
478,Krechevitsy,58.617,31.401,55.18,broken clouds,72,59,0.51,RU
479,Kyra,49.5776,111.9753,49.5,clear sky,74,3,4.25,RU
480,Santa Barbara,34.7333,-120.0343,92.34,clear sky,45,0,12.66,US
481,Piacabucu,-10.4056,-36.4344,73.4,scattered clouds,75,47,8.9,BR
482,Perpignan,42.75,2.75,79.74,clear sky,32,0,5.75,FR
483,Kostino,58.9097,53.2691,66.74,overcast clouds,72,97,1.68,RU
484,Luwuk,-0.9516,122.7875,77.05,overcast clouds,87,100,4.05,ID
485,Ponta Delgada,37.7333,-25.6667,72.32,broken clouds,88,75,2.3,PT
486,Oksfjord,70.2396,22.3479,51.87,light rain,92,100,10.56,NO
487,San Patricio,28.017,-97.5169,93.54,broken clouds,49,67,16.69,US
488,Saint-Jean-De-Maurienne,45.1667,6.5833,46.04,clear sky,87,8,3.22,FR
489,Bemidji,47.4736,-94.8803,65.05,overcast clouds,82,100,0.0,US
490,Sola,-13.8833,167.55,79.47,scattered clouds,89,40,0.0,VU
491,Strunga,47.1667,26.9833,63.95,few clouds,88,19,8.59,RO
492,Drayton Valley,53.2168,-114.9854,76.03,clear sky,59,0,6.62,CA
493,Moron,-34.6534,-58.6198,50.97,overcast clouds,77,89,10.54,AR
494,Puerto Escondido,15.85,-97.0667,82.87,overcast clouds,79,100,5.46,MX
495,Gornyatskiy,48.2915,40.9575,72.55,scattered clouds,31,33,8.7,RU
496,Rundu,-17.9333,19.7667,60.46,clear sky,32,0,4.25,NA
497,Olafsvik,64.8945,-23.7142,50.76,broken clouds,84,72,18.14,IS
498,Kitaibaraki,36.7833,140.75,85.14,clear sky,79,6,7.45,JP
499,Ust-Donetskiy,47.6419,40.8718,71.85,clear sky,31,5,7.0,RU
500,Nenjiang,49.1833,125.2167,62.08,clear sky,55,1,11.97,CN
501,Taltal,-25.4,-70.4833,61.14,scattered clouds,62,35,6.02,CL
502,Moindou,-21.6924,165.677,73.81,broken clouds,82,68,5.93,NC
503,Teguldet,57.3064,88.1667,56.82,overcast clouds,87,90,4.09,RU
504,Ascension,30.2169,-90.9001,86.11,clear sky,94,0,0.0,US
505,Necochea,-38.5473,-58.7368,40.55,overcast clouds,79,95,6.85,AR
506,Luanda,-8.8368,13.2343,66.2,clear sky,88,0,2.3,AO
507,Sabinas,27.85,-101.1167,98.55,clear sky,22,6,19.22,MX
508,Revadanda,18.5503,72.9278,76.42,light rain,95,100,14.79,IN
509,Ranot,7.7777,100.3213,79.61,overcast clouds,80,99,7.27,TH
510,Tautira,-17.7333,-149.15,75.11,light rain,73,93,22.66,PF
511,Macau,22.2006,113.5461,84.85,few clouds,89,20,9.22,MO
512,Kibuye,-2.0597,29.3482,66.85,scattered clouds,63,48,1.77,RW
513,Filingue,14.3521,3.3168,90.27,overcast clouds,51,99,15.75,NE
514,Chernenko,44.365,39.3103,62.04,clear sky,82,0,3.06,RU
515,Makakilo City,21.3469,-158.0858,86.32,clear sky,50,0,13.8,US
516,Tignere,7.3667,12.65,63.03,overcast clouds,95,99,1.79,CM
517,Barra Do Garcas,-15.89,-52.2567,83.01,scattered clouds,26,33,3.51,BR
518,Abashiri,44.0213,144.2697,71.73,overcast clouds,90,100,11.9,JP
519,Uturoa,-16.7333,-151.4333,76.6,scattered clouds,70,50,24.54,PF
520,Mackay,-21.15,149.2,65.68,clear sky,56,3,13.73,AU
521,Sidrolandia,-20.9319,-54.9614,71.94,overcast clouds,54,99,3.98,BR
522,Amga,60.8953,131.9608,59.97,broken clouds,70,58,7.58,RU
523,Dordrecht,51.81,4.6736,61.99,scattered clouds,82,28,6.15,NL
524,Zabaykalsk,49.6333,117.3167,54.91,clear sky,61,3,19.75,RU
525,Borzya,50.3833,116.5167,53.02,clear sky,65,4,15.52,RU
526,Biak,-0.9131,122.8766,75.94,overcast clouds,84,100,4.99,ID
527,College,64.8569,-147.8028,59.2,broken clouds,64,75,8.05,US
528,Lambarene,-0.7001,10.2406,70.95,few clouds,80,21,5.41,GA
529,Ko Samui,9.5357,99.9357,82.87,overcast clouds,74,100,17.69,TH
530,Manggar,-2.8833,108.2667,79.5,few clouds,79,18,10.63,ID
531,Fomeque,4.488,-73.8975,72.36,broken clouds,96,61,3.18,CO
532,Soe,-9.8607,124.284,66.4,few clouds,78,16,3.71,ID
533,Pemangkat,1.1667,108.9667,76.46,broken clouds,87,58,8.61,ID
534,Ouallam,14.3188,2.0866,88.92,light rain,54,40,10.09,NE
535,Cozumel,20.5083,-86.9458,82.0,overcast clouds,90,100,1.01,MX
536,Cayenne,4.9333,-52.3333,83.08,clear sky,2,0,5.75,GF
537,Yara,20.2753,-76.9533,83.53,broken clouds,67,80,3.67,CU
538,Eyl,7.9803,49.8164,76.08,few clouds,67,13,23.8,SO
539,Unity,52.4501,-109.1682,79.25,scattered clouds,35,30,16.06,CA
540,Lompoc,34.6391,-120.4579,86.68,clear sky,64,0,24.0,US
541,Cascais,38.6979,-9.4215,68.05,clear sky,65,2,3.0,PT
542,Tuy Hoa,13.0833,109.3,74.93,light rain,90,100,17.0,VN
543,Price,39.5994,-110.8107,92.46,scattered clouds,15,40,9.22,US
544,Dalbandin,28.8947,64.4101,90.91,clear sky,13,0,1.45,PK
545,Marzuq,14.4,46.4667,79.25,few clouds,63,18,4.54,YE
546,Svetlogorsk,52.6333,29.7333,54.52,clear sky,96,1,6.24,BY
547,Banda Aceh,5.5577,95.3222,78.62,overcast clouds,73,93,12.5,ID
548,Alpena,45.0617,-83.4327,65.1,light rain,99,100,9.22,US
549,San Felipe,10.3399,-68.7425,75.9,scattered clouds,91,46,5.03,VE
550,Sorland,67.667,12.6934,52.59,broken clouds,83,73,7.43,NO
551,Taitung,22.7583,121.1444,77.27,broken clouds,94,75,4.61,TW
552,Ipixuna,-1.7625,-48.8043,77.13,scattered clouds,84,47,5.3,BR
553,Masvingo,-20.0637,30.8277,57.92,clear sky,34,0,5.66,ZW
554,Ust-Maya,60.4167,134.5333,59.74,overcast clouds,68,99,6.67,RU
555,Boone,39.0334,-92.3335,95.85,overcast clouds,49,99,9.37,US
556,Panguna,-6.3164,155.4848,78.33,broken clouds,69,65,1.7,PG
557,Luderitz,-26.6481,15.1594,56.66,clear sky,74,0,9.4,NA
558,Athabasca,54.7169,-113.2854,79.21,clear sky,38,2,11.7,CA
559,Chauk,20.8833,94.8167,78.4,overcast clouds,87,100,10.98,MM
560,Sabha,27.0377,14.4283,85.06,clear sky,20,0,11.99,LY
561,Rantepao,-2.9701,119.8978,67.01,overcast clouds,95,100,1.3,ID
562,Petatlan,17.5167,-101.2667,91.2,overcast clouds,65,99,5.91,MX
563,Maragogi,-9.0122,-35.2225,75.9,broken clouds,67,52,9.62,BR
564,Shingu,33.7333,135.9833,83.86,broken clouds,77,59,4.52,JP
565,Lorengau,-2.0226,147.2712,83.28,broken clouds,73,82,8.37,PG
566,Kichera,55.9375,110.0997,50.22,light rain,98,100,4.72,RU
567,Andra,62.5147,65.8878,62.11,clear sky,74,8,3.22,RU
568,Agadez,19.75,10.25,95.05,overcast clouds,16,98,3.06,NE
569,Batticaloa,7.7102,81.6924,79.29,overcast clouds,65,97,7.45,LK
570,Presidencia Roque Saenz Pena,-26.7852,-60.4388,57.97,clear sky,69,0,6.71,AR
571,Matamba,-8.9833,33.9667,47.12,clear sky,77,2,5.14,TZ
572,Saint Marys,30.7305,-81.5465,89.02,scattered clouds,73,40,9.22,US
573,Merauke,-8.4667,140.3333,78.33,scattered clouds,84,47,13.4,ID
574,Te Anau,-45.4167,167.7167,35.73,few clouds,85,21,6.96,NZ
575,Pangoa,-12.1167,-73.0,70.23,broken clouds,91,84,2.48,PE
576,Suntar,62.1444,117.6319,54.59,broken clouds,78,80,3.56,RU
577,Falmouth,50.1544,-5.0711,59.9,few clouds,82,14,8.05,GB
578,Oranjemund,-28.55,16.4333,53.64,clear sky,85,0,4.32,NA
579,Veinticinco De Mayo,-35.4323,-60.1727,48.97,broken clouds,79,82,4.0,AR
580,Datong,40.0936,113.2914,74.08,overcast clouds,58,88,8.01,CN
581,Gaoual,11.75,-13.2,73.78,overcast clouds,96,89,4.63,GN
582,Rodrigues Alves,-7.738,-72.6509,79.0,scattered clouds,80,48,1.43,BR
583,Ariquemes,-9.9133,-63.0408,85.17,overcast clouds,46,86,3.29,BR
584,Christchurch,-43.5333,172.6333,43.92,broken clouds,76,75,4.61,NZ
585,Half Moon Bay,37.4636,-122.4286,82.58,overcast clouds,64,100,21.85,US
586,Bilibino,68.0546,166.4372,45.36,few clouds,52,11,4.0,RU
587,Gazojak,41.1875,61.4036,77.81,clear sky,27,0,8.72,TM
588,Kidal,18.4411,1.4078,92.61,scattered clouds,29,35,9.93,ML
589,Los Altos Hills,37.3797,-122.1375,85.6,clear sky,56,0,16.11,US
590,Tomatlan,19.9333,-105.25,86.31,broken clouds,62,75,8.03,MX
591,Talnakh,69.4865,88.3972,54.21,light rain,95,100,5.79,RU
592,Sur,22.5667,59.5289,86.56,scattered clouds,62,50,5.75,OM
593,Kavali,14.9167,79.9833,81.05,overcast clouds,70,100,19.84,IN
594,Bowen,-20.0167,148.2333,67.32,few clouds,76,17,7.36,AU
595,Maniitsoq,65.4167,-52.9,40.1,overcast clouds,94,100,2.86,GL
596,Kupang,-10.1667,123.5833,75.92,few clouds,84,18,5.55,ID
597,Netarhat,23.4833,84.2667,67.51,broken clouds,98,76,3.38,IN
598,Tual,-5.6667,132.75,80.13,overcast clouds,81,99,20.83,ID
599,Dzhebariki-Khaya,62.2167,135.8,62.1,overcast clouds,65,100,2.66,RU
600,Kaa-Khem,51.6833,94.7333,60.28,overcast clouds,43,100,2.77,RU
601,Baltay,52.4652,46.6308,68.77,clear sky,52,9,4.9,RU
602,Laguna,38.421,-121.4238,96.35,clear sky,33,0,9.22,US
603,Ziro,27.6333,93.8333,60.01,scattered clouds,94,48,1.79,IN
604,Monrovia,6.3005,-10.7969,75.47,overcast clouds,78,94,9.64,LR
605,Luebo,-5.35,21.4167,76.53,overcast clouds,32,100,1.45,CD
606,Faya,18.3851,42.4509,66.31,scattered clouds,71,49,3.85,SA
607,Vanimo,-2.6741,141.3028,78.96,overcast clouds,87,96,5.41,PG
608,Pisco,-13.7,-76.2167,64.45,few clouds,72,20,13.8,PE
609,San Juan,-31.5375,-68.5364,42.58,overcast clouds,79,100,10.83,AR
610,Sioux Lookout,50.1001,-91.917,69.87,broken clouds,46,75,4.61,CA
611,Kalmunai,7.4167,81.8167,78.49,overcast clouds,70,95,4.27,LK
612,Ponte De Sor,39.2496,-8.0101,65.43,clear sky,86,0,4.92,PT
613,Terrace,54.5163,-128.6035,76.91,scattered clouds,41,40,13.8,CA
614,Moletai,55.2333,25.4167,52.3,overcast clouds,92,99,4.56,LT
615,Dandong,40.1292,124.3947,78.58,overcast clouds,93,99,4.85,CN
616,Trelew,-43.249,-65.3051,41.61,overcast clouds,77,100,7.83,AR
617,Port Angeles,48.1181,-123.4307,84.09,clear sky,49,0,5.99,US
618,Kandava,57.0409,22.7747,52.45,overcast clouds,85,100,5.57,LV
619,Omsukchan,62.5333,155.8,70.48,overcast clouds,53,85,5.23,RU
620,Macia,-25.0269,33.0989,68.74,clear sky,66,5,10.4,MZ
621,Xinxiang,35.3089,113.8672,85.57,overcast clouds,77,100,4.03,CN
622,Rabo De Peixe,37.8,-25.5833,71.11,light rain,88,75,2.3,PT
623,La Tuque,47.4334,-72.7824,66.45,overcast clouds,68,100,4.61,CA
624,Ler,8.3018,30.1418,71.78,light rain,93,100,4.72,SS
625,Filadelfia,39.9523,-75.1638,92.21,few clouds,54,20,12.66,US
626,Marawi,7.9986,124.2928,69.71,overcast clouds,94,86,2.71,PH
627,Mataram,-8.5833,116.1167,70.61,few clouds,80,15,7.81,ID
628,Sivas,39.7916,37.0019,59.63,clear sky,88,0,9.22,TR
629,Gamovo,57.8652,56.1056,62.22,clear sky,82,0,4.47,RU
630,Rawson,-43.3002,-65.1023,42.42,overcast clouds,76,100,8.12,AR
631,Stabat,3.761,98.4513,75.4,overcast clouds,94,100,3.06,ID
632,Port Hawkesbury,45.6169,-61.3485,86.92,few clouds,74,20,8.05,CA
633,Odweyne,9.4092,45.064,73.53,broken clouds,46,63,18.03,SO
634,Pimampiro,0.4,-77.9667,63.57,scattered clouds,67,37,6.93,EC
635,Opuwo,-18.0607,13.84,64.81,few clouds,24,12,5.59,NA
636,Kostomuksha,64.571,30.5767,46.83,scattered clouds,92,34,6.58,RU
637,Bukama,-9.2,25.85,70.68,clear sky,33,0,3.4,CD
638,Nizhneangarsk,55.7833,109.55,47.32,light rain,97,100,4.03,RU
639,San Andres,12.5847,-81.7006,82.42,broken clouds,78,75,16.11,CO
640,Catuday,16.2923,119.8062,75.45,overcast clouds,87,100,16.69,PH
641,Ca Mau,9.1769,105.15,76.1,overcast clouds,91,100,4.14,VN
642,Rio Grande,-32.035,-52.0986,57.31,overcast clouds,84,100,14.54,BR
643,Rjukan,59.8789,8.5941,56.05,overcast clouds,93,95,4.52,NO
644,Jacqueville,5.2052,-4.4146,75.51,few clouds,78,19,13.65,CI
645,Wamba,8.9333,8.6,71.82,overcast clouds,95,100,2.39,NG
646,Bitung,1.4451,125.1824,76.05,overcast clouds,81,100,1.61,ID
647,Shu,43.5983,73.7614,72.03,broken clouds,53,71,1.68,KZ
648,Staryy Merchyk,49.9815,35.759,68.63,few clouds,50,17,6.31,UA
649,Okhotsk,59.3833,143.3,56.35,overcast clouds,82,100,9.95,RU
650,Dzhubga,44.3211,38.7039,73.04,clear sky,63,0,10.76,RU
651,Atyrau,47.1167,51.8833,73.42,clear sky,27,0,8.95,KZ
652,Fredericksburg,38.3032,-77.4605,90.57,clear sky,64,0,8.05,US
653,Arlit,18.7369,7.3853,97.72,overcast clouds,22,100,8.95,NE
654,Tura,25.5198,90.2201,73.8,very heavy rain,99,99,6.64,IN
655,Zhireken,52.8249,117.3076,52.14,scattered clouds,69,27,5.06,RU
656,Capitao Poco,-1.7464,-47.0594,74.59,broken clouds,86,76,6.2,BR
657,Miri,4.4148,114.0089,77.14,few clouds,88,20,4.61,MY
658,Ewa Beach,21.3156,-158.0072,87.75,few clouds,49,20,13.8,US
659,Khasan,42.4308,130.6434,75.52,few clouds,91,15,4.52,RU
660,Royan,45.6285,-1.0281,71.82,broken clouds,33,83,14.16,FR
661,Lebyazhye,55.2689,66.4947,60.85,broken clouds,73,81,7.9,RU
662,Gebre Guracha,9.8,38.4,51.94,overcast clouds,95,100,1.57,ET
663,Carutapera,-1.195,-46.02,77.34,broken clouds,87,72,7.36,BR
664,Eureka,40.8021,-124.1637,73.67,overcast clouds,81,87,4.0,US
665,Lethem,3.3803,-59.7968,81.37,broken clouds,70,78,2.86,GY
666,La Ronge,55.1001,-105.2842,80.85,scattered clouds,32,40,14.97,CA
667,Marsh Harbour,26.5412,-77.0636,83.44,overcast clouds,69,100,11.95,BS
668,Chinhoyi,-17.3667,30.2,55.85,clear sky,41,0,4.43,ZW
669,Santarem,-2.4431,-54.7083,84.33,clear sky,70,0,6.91,BR
670,Marmora,44.4583,7.094,55.74,scattered clouds,87,42,2.26,IT
671,Novichikha,52.204,81.3877,64.58,broken clouds,49,63,3.74,RU
672,Ust-Kuyga,70.0167,135.6,64.09,overcast clouds,69,96,9.91,RU
673,Mago,53.2514,140.1822,65.75,overcast clouds,90,100,7.56,RU
674,Bac Lieu,9.285,105.7244,78.06,overcast clouds,86,100,7.72,VN
675,Ambilobe,-13.2,49.05,61.14,scattered clouds,87,25,3.65,MG
676,Rovaniemi,66.5,25.7167,49.41,overcast clouds,93,88,5.75,FI
677,Auki,-8.7676,160.7034,80.94,very heavy rain,79,87,1.74,SB
678,Waipawa,-41.4122,175.5153,48.13,light rain,95,100,17.27,NZ
679,Silopi,37.2497,42.4694,86.58,clear sky,28,0,1.3,TR
680,Viedma,-40.8135,-62.9967,44.22,overcast clouds,81,100,6.29,AR
681,Mareeba,-17.0,145.4333,70.52,broken clouds,86,74,4.34,AU
682,Lundamo,63.1333,10.3,48.99,broken clouds,78,59,1.88,NO
683,Myitkyina,25.3833,97.4,75.45,overcast clouds,100,95,0.4,MM
684,Turukhansk,65.8167,87.9833,55.0,overcast clouds,81,99,3.33,RU
685,Naryan-Mar,67.6713,53.087,58.01,overcast clouds,86,92,10.09,RU
686,Ketou,7.3633,2.5998,71.58,broken clouds,88,70,6.55,BJ
687,Green River,41.5286,-109.4662,83.19,clear sky,22,0,5.01,US
688,Nemuro,43.3236,145.575,66.54,overcast clouds,97,100,16.31,JP
689,Houma,29.5958,-90.7195,88.0,scattered clouds,81,40,1.01,US
690,Robertson,36.5167,-86.8667,84.4,clear sky,89,0,4.61,US
691,Hibbing,47.4272,-92.9377,63.91,overcast clouds,68,100,4.61,US
692,Gwanda,-20.9333,29.0,61.07,clear sky,33,0,6.31,ZW
693,Ixtapa,20.7,-105.2,82.09,overcast clouds,86,94,3.83,MX
694,Jacareacanga,-6.2222,-57.7528,76.59,broken clouds,80,72,2.06,BR
695,Xuanzhou,30.9525,118.7553,85.73,scattered clouds,69,49,2.62,CN
696,Santa Cruz,-17.8,-63.1667,69.85,overcast clouds,94,100,9.22,BO
697,Ha Giang,22.8333,104.9833,74.55,overcast clouds,98,89,2.48,VN
698,Batemans Bay,-35.7167,150.1833,51.1,few clouds,73,13,4.94,AU
699,Loralai,30.3705,68.598,77.22,broken clouds,65,72,2.51,PK
